case,rank,node_id,node_group,operation,type_pair,group,original_loss,ablated_loss,loss_drop_when_zeroed,captum_attr_sum,captum_attr_mean
FP_above_threshold:356:210015,356,210015,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:356:210015,356,210015,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:357:206407,357,206407,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:357:206407,357,206407,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:357:206407,357,206407,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:357:206407,357,206407,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:358:206369,358,206369,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:358:206369,358,206369,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:358:206369,358,206369,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:358:206369,358,206369,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
FP_above_threshold:359:203174,359,203174,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.137759686,6.273558617,0.864201069,55.308868408,0.864201069
FP_above_threshold:359:203174,359,203174,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.137759686,4.217401505,2.920358181,8.761074066,2.920357943
FP_above_threshold:359:203174,359,203174,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.137759686,6.478310585,0.659449100,42.204742432,0.659449100
FP_above_threshold:359:203174,359,203174,FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.137759686,5.934995651,1.202764034,3.608292103,1.202764034
